
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,374.7
북춘천(93),127.75443,37.94738,217.9
철원(95),127.3042,38.14787,291.5
동두천(98),127.0607,37.90188,223.4
파주(99),126.76648,37.88589,220.1
대관령(100),128.71834,37.67713,251.7
춘천(101),127.7357,37.90262,219.6
백령도(102),124.71237,37.97396,271.3
북강릉(104),128.85535,37.80456,288.4
강릉(105),128.89099,37.75147,255.6
동해(106),129.12433,37.50709,334.9
서울(108),126.9658,37.57142,250.4
인천(112),126.6249,37.47772,236.4
원주(114),127.94659,37.33749,285
울릉도(115),130.89863,37.48129,409.3
수원(119),126.983,37.25746,304.3
영월(121),128.45743,37.18126,222.5
충주(127),127.9525,36.97045,330.7
서산(129),126.4939,36.77658,388.1
울진(130),129.41278,36.99176,362
청주(131),127.44066,36.63924,271.7
대전(133),127.3721,36.37199,243.7
추풍령(135),127.99458,36.22025,246.1
안동(136),128.70733,36.57293,217.9
상주(137),128.15741,36.40837,270
포항(138),129.38002,36.03201,404.6
군산(140),126.76135,36.0053,253.4
대구(143),128.65296,35.87797,185
전주(146),127.11718,35.84092,280.2
울산(152),129.33469,35.58237,223.9
창원(155),128.57282,35.17019,170.7
광주(156),126.89156,35.17294,252.2
부산(159),129.03203,35.10468,240.8
통영(162),128.43561,34.84541,218.5
목포(165),126.38151,34.81732,170
여수(168),127.74063,34.73929,233.1
흑산도(169),125.45105,34.68719,169.5
완도(170),126.70182,34.3959,174.3
고창(172),126.599,35.34824,270.2
순천(174),127.3694,35.0204,240.8
홍성(177),126.68772,36.65759,407.4
제주(184),126.52969,33.51411,589
고산(185),126.16283,33.29382,416.6
성산(188),126.8802,33.38677,599.9
서귀포(189),126.5653,33.24616,780.8
진주(192),128.04004,35.16378,212.9
강화(201),126.44634,37.70739,231.9
양평(202),127.49446,37.48863,243.1
이천(203),127.48421,37.26399,327.9
인제(211),128.16714,38.05986,205.1
홍천(212),127.88043,37.6836,214.6
태백(216),128.98929,37.17038,273.2
정선군(217),128.6459,37.38149,254.9
제천(221),128.19433,37.15928,283.8
보은(226),127.73415,36.48761,240.9
천안(232),127.29282,36.76217,368.2
보령(235),126.55744,36.32724,373.3
부여(236),126.92079,36.27242,297.4
금산(238),127.48175,36.10563,246.6
세종(239),127.24438,36.48522,281.9
부안(243),126.71657,35.72961,317.2
임실(244),127.28556,35.61203,233.9
정읍(245),126.83904,35.56337,291.5
남원(247),127.39652,35.4213,239.6
장수(248),127.52031,35.65696,253.8
고창군(251),126.697,35.42661,268.4
영광군(252),126.47784,35.28366,275.7
김해시(253),128.89075,35.22981,192.1
순창군(254),127.1286,35.37131,213.1
북창원(255),128.6726,35.22655,227.7
양산시(257),129.02009,35.30737,255
보성군(258),127.21226,34.76335,183.2
강진군(259),126.76715,34.6289,181.5
장흥(260),126.91951,34.68886,175.2
해남(261),126.56907,34.55375,211.9
고흥(262),127.27572,34.61826,162.8
의령군(263),128.28812,35.32258,194.8
함양군(264),127.74538,35.51138,208.6
광양시(266),127.6914,34.9434,249
진도군(268),126.25846,34.47296,200.4
봉화(271),128.91449,36.94361,245.1
영주(272),128.51687,36.87183,291.1
문경(273),128.14879,36.62727,272.4
청송군(276),129.04005,36.4351,241.6
영덕(277),129.40926,36.53337,342.8
의성(278),128.68864,36.3561,226.4
구미(279),128.32055,36.13055,221.6
영천(281),128.9514,35.97742,234.7
경주시(283),129.2009,35.8174,277.3
거창(284),127.9099,35.66739,185.4
합천(285),128.16994,35.56505,204.1
밀양(288),128.74412,35.49147,171.5
산청(289),127.8791,35.413,243
거제(294),128.60459,34.88818,337.3
남해(295),127.92641,34.81662,261.7
